"Address","Size (KB)","W","H","Stride","Format","Usage"
"0x0025dd50","1500.00","480","800","480","RGBX8888(2)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x002aebd0","71.25","480","38","480","RGBA8888(1)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x002f0948","71.25","480","38","480","RGBA8888(1)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x002f1e28","1209.38","480","645","480","RGBA8888(1)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x002fbb20","750.00","480","800","480","RGB565(4)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x00306fc0","750.00","480","800","480","RGB565(4)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x00316508","1500.00","480","800","480","RGBX8888(2)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
