"Frequency (MHz)","Time (sec)","Time (%)"
"245","830","91"
"384","3","0"
"422","0","0"
"460","1","0"
"499","0","0"
"537","0","0"
"576","0","0"
"614","0","0"
"652","0","0"
"691","0","0"
"729","0","0"
"768","0","0"
"806","1","0"
"844","0","0"
"883","1","0"
"921","0","0"
"960","0","0"
"998","58","6"
"1036","0","0"
"1075","0","0"
"1113","0","0"
