"Address","Size (KB)","W","H","Stride","Format","Usage"
"0x002be730","71.25","480","38","480","RGBA8888(1)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x002be868","1209.38","480","645","480","RGBA8888(1)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x002c92f8","750.00","480","800","480","RGB565(4)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x002ce520","71.25","480","38","480","RGBA8888(1)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x00307920","750.00","480","800","480","RGB565(4)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
"0x0031e968","1500.00","480","800","480","RGBX8888(2)","0x00000133: SW_READ_OFTEN SW_WRITE_OFTEN HW_TEXTURE "
